Count;ColorMin;ColorMax;WoolMin;WoolMax;Made
5;#332E57;#3C1B4F;611;840;5
6;#332E57;#6D5BAE;611;884;6
8;#332E57;#825286;611;701;0
5;#332E57;#D5C7E9;611;959;4
3;#332E57;#9F589E;611;669;0
1;#332E57;#EFABDD;611;958;0
10;#3C1B4F;#825286;840;701;0
11;#3C1B4F;#6D5BAE;840;884;5
11;#3C1B4F;#9F589E;840;669;0
7;#3C1B4F;#EFABDD;840;958;4
10;#3C1B4F;#D5C7E9;840;959;3
1;#3C1B4F;#F785C9;840;992;0
8;#6D5BAE;#9F589E;884;669;0
16;#6D5BAE;#D5C7E9;884;959;16
4;#6D5BAE;#825286;884;701;0
2;#6D5BAE;#6D5BAE;884;884;1
7;#6D5BAE;#EFABDD;884;958;7
5;#6D5BAE;#F785C9;884;992;0
1;#6D5BAE;#B62C81;884;984;0
4;#825286;#9F589E;701;669;0
12;#825286;#EFABDD;701;958;0
13;#825286;#D5C7E9;701;959;0
2;#825286;#825286;701;701;0
13;#825286;#F785C9;701;992;0
7;#825286;#B62C81;701;984;0
3;#825286;#AE2958;701;689;0
1;#825286;#632243;701;679;0
5;#9F589E;#D5C7E9;669;959;0
8;#9F589E;#EFABDD;669;958;0
11;#9F589E;#F785C9;669;992;0
11;#9F589E;#AE2958;669;689;0
4;#9F589E;#632243;669;679;0
13;#9F589E;#B62C81;669;984;0
4;#9F589E;#811530;669;841;0
2;#B62C81;#F74E3C;984;728;0
2;#B62C81;#E80128;984;977;0
1;#B62C81;#811530;984;841;0
11;#D5C7E9;#AE2958;959;689;0
15;#D5C7E9;#F785C9;959;992;0
12;#D5C7E9;#B62C81;959;984;0
5;#D5C7E9;#632243;959;679;0
5;#D5C7E9;#811530;959;841;0
3;#D5C7E9;#EFABDD;959;958;0
9;#EFABDD;#AE2958;958;689;0
3;#EFABDD;#F785C9;958;992;0
5;#EFABDD;#632243;958;679;5
9;#EFABDD;#811530;958;841;9
7;#EFABDD;#E80128;958;977;7
8;#EFABDD;#B62C81;958;984;0
1;#EFABDD;#F74E3C;958;728;1
3;#F785C9;#B62C81;992;984;0
12;#F785C9;#E80128;992;977;0
9;#F785C9;#632243;992;679;0
2;#F785C9;#AE2958;992;689;0
6;#F785C9;#811530;992;841;0
4;#F785C9;#F74E3C;992;728;0
