Date;TempMin;TempMax;ColorMin;ColorMax;Made
2024-01-01;1.7;8.9;#3C1B4F;#825286;False
2024-01-02;1.2;7.4;#3C1B4F;#825286;False
2024-01-03;3.8;11.3;#6D5BAE;#9F589E;False
2024-01-04;5.7;13.3;#6D5BAE;#D5C7E9;True
2024-01-05;4.2;6.1;#6D5BAE;#825286;False
2024-01-06;5.0;6.5;#6D5BAE;#825286;False
2024-01-07;3.7;4.3;#6D5BAE;#6D5BAE;True
2024-01-08;1.2;3.0;#3C1B4F;#6D5BAE;True
2024-01-09;-0.1;1.4;#332E57;#3C1B4F;False
2024-01-10;0.3;4.1;#3C1B4F;#6D5BAE;True
2024-01-11;0.7;3.9;#3C1B4F;#6D5BAE;True
2024-01-12;1.8;3.2;#3C1B4F;#6D5BAE;True
2024-01-13;-1.0;5.1;#332E57;#6D5BAE;False
2024-01-14;-4.2;2.6;#332E57;#3C1B4F;False
2024-01-15;1.8;4.8;#3C1B4F;#6D5BAE;True
2024-01-16;1.5;6.7;#3C1B4F;#825286;False
2024-01-17;2.6;10.3;#3C1B4F;#9F589E;False
2024-01-18;8.0;10.7;#825286;#9F589E;False
2024-01-19;1.2;4.2;#3C1B4F;#6D5BAE;False
2024-01-20;-0.4;4.8;#332E57;#6D5BAE;False
2024-01-21;-3.6;7.7;#332E57;#825286;False
2024-01-22;-2.7;7.3;#332E57;#825286;False
2024-01-23;2.2;11.7;#3C1B4F;#9F589E;False
2024-01-24;2.8;16.6;#3C1B4F;#EFABDD;True
2024-01-25;5.0;16.3;#6D5BAE;#EFABDD;True
2024-01-26;3.2;12.6;#6D5BAE;#D5C7E9;True
2024-01-27;4.0;14.2;#6D5BAE;#D5C7E9;True
2024-01-28;0.0;14.2;#3C1B4F;#D5C7E9;True
2024-01-29;-0.3;12.5;#332E57;#D5C7E9;False
2024-01-30;-0.6;13.0;#332E57;#D5C7E9;False
2024-01-31;-1.0;12.1;#332E57;#D5C7E9;False
2024-02-01;-0.2;11.4;#332E57;#9F589E;False
2024-02-02;2.7;14.2;#3C1B4F;#D5C7E9;True
2024-02-03;0.3;15.6;#3C1B4F;#EFABDD;True
2024-02-04;0.3;5.7;#3C1B4F;#6D5BAE;False
2024-02-05;2.8;9.1;#3C1B4F;#9F589E;False
2024-02-06;-1.6;11.4;#332E57;#9F589E;False
2024-02-07;4.3;14.4;#6D5BAE;#D5C7E9;True
2024-02-08;6.3;17.9;#825286;#EFABDD;False
2024-02-09;10.7;13.6;#9F589E;#D5C7E9;False
2024-02-10;7.7;12.4;#825286;#D5C7E9;False
2024-02-11;3.9;11.3;#6D5BAE;#9F589E;False
2024-02-12;4.8;12.8;#6D5BAE;#D5C7E9;True
2024-02-13;1.2;14.4;#3C1B4F;#D5C7E9;True
2024-02-14;1.8;17.3;#3C1B4F;#EFABDD;True
2024-02-15;2.2;15.7;#3C1B4F;#EFABDD;True
2024-02-16;4.7;17.4;#6D5BAE;#EFABDD;False
2024-02-17;7.7;13.6;#825286;#D5C7E9;False
2024-02-18;9.0;15.2;#9F589E;#EFABDD;False
2024-02-19;7.1;15.8;#825286;#EFABDD;False
2024-02-20;7.7;13.6;#825286;#D5C7E9;False
2024-02-21;3.7;15.6;#6D5BAE;#EFABDD;False
2024-02-22;8.3;14.8;#825286;#D5C7E9;False
2024-02-23;2.2;14.1;#3C1B4F;#D5C7E9;False
2024-02-24;4.4;14.6;#6D5BAE;#D5C7E9;True
2024-02-25;0.6;13.4;#3C1B4F;#D5C7E9;False
2024-02-26;7.3;17.9;#825286;#EFABDD;False
2024-02-27;6.5;10.6;#825286;#9F589E;False
2024-02-28;7.6;8.5;#825286;#825286;False
2024-02-29;6.8;14.2;#825286;#D5C7E9;False
2024-03-01;7.6;13.2;#825286;#D5C7E9;False
2024-03-02;2.3;17.4;#3C1B4F;#EFABDD;False
2024-03-03;4.6;10.7;#6D5BAE;#9F589E;False
2024-03-04;4.2;12.6;#6D5BAE;#D5C7E9;False
2024-03-05;3.9;13.7;#6D5BAE;#D5C7E9;False
2024-03-06;4.1;13.1;#6D5BAE;#D5C7E9;False
2024-03-07;-0.7;16.3;#332E57;#EFABDD;False
2024-03-08;0.7;11.7;#3C1B4F;#9F589E;False
2024-03-09;3.8;16.8;#6D5BAE;#EFABDD;False
2024-03-10;7.2;14.2;#825286;#D5C7E9;False
2024-03-11;2.5;14.8;#3C1B4F;#D5C7E9;False
2024-03-12;5.0;15.1;#6D5BAE;#EFABDD;False
2024-03-13;3.6;20.0;#6D5BAE;#F785C9;False
2024-03-14;4.6;21.7;#6D5BAE;#B62C81;False
2024-03-15;7.2;20.3;#825286;#F785C9;False
2024-03-16;9.4;19.1;#9F589E;#F785C9;False
2024-03-17;6.2;18.9;#825286;#F785C9;False
2024-03-18;11.0;18.4;#9F589E;#F785C9;False
2024-03-19;7.3;22.2;#825286;#B62C81;False
2024-03-20;6.4;24.1;#825286;#AE2958;False
2024-03-21;8.8;23.8;#825286;#B62C81;False
2024-03-22;9.3;26.0;#9F589E;#AE2958;False
2024-03-23;9.2;15.9;#9F589E;#EFABDD;False
2024-03-24;7.7;13.6;#825286;#D5C7E9;False
2024-03-25;0.9;15.3;#3C1B4F;#EFABDD;False
2024-03-26;7.9;18.9;#825286;#F785C9;False
2024-03-27;1.9;12.6;#3C1B4F;#D5C7E9;False
2024-03-28;4.3;19.4;#6D5BAE;#F785C9;False
2024-03-29;13.8;24.8;#D5C7E9;#AE2958;False
2024-03-30;10.9;20.2;#9F589E;#F785C9;False
2024-03-31;9.3;19.2;#9F589E;#F785C9;False
2024-04-01;7.9;17.8;#825286;#EFABDD;False
2024-04-02;6.4;20.8;#825286;#F785C9;False
2024-04-03;9.4;15.7;#9F589E;#EFABDD;False
2024-04-04;6.7;24.4;#825286;#AE2958;False
2024-04-05;8.9;27.1;#825286;#632243;False
2024-04-06;9.1;29.8;#9F589E;#632243;False
2024-04-07;11.8;21.3;#9F589E;#B62C81;False
2024-04-08;11.8;30.9;#9F589E;#811530;False
2024-04-09;6.6;12.4;#825286;#D5C7E9;False
2024-04-10;6.1;13.7;#825286;#D5C7E9;False
2024-04-11;3.4;20.5;#6D5BAE;#F785C9;False
2024-04-12;6.4;25.8;#825286;#AE2958;False
2024-04-13;9.3;30.2;#9F589E;#811530;False
2024-04-14;10.9;32.3;#9F589E;#811530;False
2024-04-15;15.4;26.8;#EFABDD;#AE2958;False
2024-04-16;8.2;15.3;#825286;#EFABDD;False
2024-04-17;5.8;13.7;#6D5BAE;#D5C7E9;False
2024-04-18;4.4;13.0;#6D5BAE;#D5C7E9;False
2024-04-19;0.9;17.4;#3C1B4F;#EFABDD;False
2024-04-20;7.1;15.4;#825286;#EFABDD;False
